date,orig_nav,pmcc_nav
2023-06-28,85717.21234521954,47918.89522892809
2023-06-29,85378.54069373777,47830.92335664151
2023-06-30,87795.35864332145,48416.25979541287
2023-07-03,88075.60384647376,48505.6679515243
2023-07-05,88064.10117075787,48471.45576395853
2023-07-06,87039.44395373682,48137.66585963101
2023-07-07,86377.41402655584,48041.61856382998
2023-07-10,86287.17615842247,48026.946293402274
2023-07-11,86919.51575115258,48209.43232010103
2023-07-12,88839.85437063558,48741.49964193478
2023-07-13,91993.59887473284,49366.0929181849
2023-07-14,91981.61287118582,48586.5088938187
2023-07-17,93649.91362578026,48900.23463992579
2023-07-18,95379.89675676911,49215.7605252379
2023-07-19,95345.39952902264,48241.79872510025
2023-07-20,91377.84307285093,47034.760814259265
2023-07-21,90680.8558194258,47118.7299616165
2023-07-24,90890.84901021927,47193.71748790247
2023-07-25,91975.61250787212,47548.20719730813
2023-07-26,90995.38472720218,47285.40806374479
2023-07-27,91064.68222954987,47249.00713739216
2023-07-28,93727.92016825597,48131.47085934756
2023-07-31,93892.41109484626,48185.258234155495
2023-08-01,93408.2054313284,48034.702881472025
2023-08-02,90460.9903932836,47032.72643612494
2023-08-03,89770.09185689066,46149.24028287823
2023-08-04,89180.44616342906,45911.04674564129
2023-08-07,90331.02746852377,46905.17286511336
2023-08-08,87844.9301323429,46187.8335283467
2023-08-09,84666.84202324263,45248.02486685868
2023-08-10,85060.72994549153,45688.91869122919
2023-08-11,82524.30984335183,44977.61646036135
2023-08-14,85176.92867280585,45157.272976385306
2023-08-15,83353.94148091877,44467.64173211361
2023-08-16,80879.09960139595,43729.49016174615
2023-08-17,79276.06987701221,43123.64813438861
2023-08-18,78477.53381783454,42682.56954791368
2023-08-21,81350.23147024932,44341.867688440274
2023-08-22,80726.41078748641,44201.62118275819
2023-08-23,83846.5611477624,45238.917535780645
2023-08-24,79267.8911479037,43778.73322040002
2023-08-25,79911.52767311763,44195.12388717803
2023-08-28,80919.38337054383,44665.65962489562
2023-08-29,86461.72032469526,46250.55608385595
2023-08-30,88063.64375146206,46725.57222949023
2023-08-31,88584.79906297923,46903.74411588804
2023-09-01,88096.13951646781,46872.57520197452
2023-09-05,88389.1342780706,46908.97259473114
2023-09-06,85476.97234477417,46206.77947338858
2023-09-07,82852.84402400078,45582.0446558531
2023-09-08,82851.55238690754,45684.7943899575
2023-09-11,86415.47434687431,46633.4139009952
2023-09-12,82622.82426146153,45703.17257150504
2023-09-13,83393.08737801953,46020.424709142906
2023-09-14,85874.94844319587,46707.75686175761
2023-09-15,80083.26147331623,45187.96641036324
2023-09-18,80272.45328622745,45282.8987306828
2023-09-19,79530.49503043255,45365.92347905691
2023-09-20,75413.21165429118,44225.5907789286
2023-09-21,71833.34731604623,43020.47012996684
2023-09-22,71608.88069640334,43006.47868977544
2023-09-25,72069.80576272823,42970.163832913706
2023-09-26,69465.73762846172,41958.445440698735
2023-09-27,69567.14315465123,42089.98523613151
2023-09-28,70779.86908779637,42425.10159504828
2023-09-29,70930.3501848424,42432.401260177234
2023-10-02,71728.8933832074,42704.22223849368
2023-10-03,71110.90217319698,42675.61495729676
2023-10-04,72626.54669200248,43303.34548939246
2023-10-05,72161.13924943945,43194.221322171696
2023-10-06,74106.08903023398,43857.489880385045
2023-10-09,74685.71009126442,44007.28402112903
2023-10-10,75329.69542166103,44243.780814710975
2023-10-11,76291.39940445164,44574.34439680688
2023-10-12,75726.71229041304,44391.92859736508
2023-10-13,74459.73631965513,43940.31385085947
2023-10-16,75440.14184870248,44331.715545473184
2023-10-17,74969.46962321196,44175.912645280005
2023-10-18,73113.62556473055,43567.963697151274
2023-10-19,72194.80608435291,43160.42712737878
2023-10-20,69979.1154382434,42355.997515441275
2023-10-23,69590.982635133,42322.81951252266
2023-10-24,70294.95476415775,42636.34198146818
2023-10-25,67898.14126034916,41817.64912426292
2023-10-26,66377.80318644943,41240.964455073525
2023-10-27,66850.36701793363,41225.964455073525
2023-10-30,67049.85590755328,41225.964455073525
2023-10-31,66976.58178260761,41258.023737489864
2023-11-01,68433.57708585614,41301.40050849369
2023-11-02,69919.2824982174,41017.929277769705
2023-11-03,73637.22734947035,42148.43306635386
2023-11-06,74070.21064697107,41639.80245525996
2023-11-07,75813.88590199822,41959.84097587459
2023-11-08,75836.94408885798,41947.54871384421
2023-11-09,74522.60198599065,41780.78586156488
2023-11-10,78697.20922149673,42439.525891546735
2023-11-13,78257.07716668508,42338.68122595138
2023-11-14,81317.63923467336,43097.29753389081
2023-11-15,81418.48465548646,43124.12420081537
2023-11-16,81538.18811102767,43145.0233800489
2023-11-17,81418.28856980032,43136.237630284275
2023-11-20,83355.89112615849,43592.23824536509
2023-11-21,74936.02570294478,39165.73476727989
2023-11-22,75609.56320013852,39343.91064455325
2023-11-24,75262.51855281933,39297.46961030749
2023-11-27,75003.8302428897,39242.525522766024
2023-11-28,75457.79168514907,39343.57031434333
2023-11-29,75298.3162350504,39560.37061205467
2023-11-30,74748.45872184641,39449.65781303719
2023-12-01,75253.86721163456,39575.24086756828
2023-12-04,73459.05817391467,39179.225410278596
2023-12-05,74385.62726558489,38791.7859768318
2023-12-06,72332.50950393404,38315.20296233052
2023-12-07,77202.49082949545,39823.14226968326
2023-12-08,78512.46787501793,40173.373388811415
2023-12-11,81490.45424990494,40811.06481659659
2023-12-12,82789.12402568254,41476.56687146079
2023-12-13,85051.07799965482,42419.92822944305
2023-12-14,84941.44278765975,40258.47716042127
2023-12-15,85590.52220201555,40421.57611209473
2023-12-18,86980.95261824243,40699.59713316449
2023-12-19,87918.08364289475,40891.73175506569
2023-12-20,85259.02411030716,40264.40735302581
2023-12-21,87424.8474029189,40721.399633254194
2023-12-22,87547.39627178841,40799.9612405525
2023-12-26,88593.11858094159,41028.62967321079
2023-12-27,88870.35985839494,41123.88320786508
2023-12-28,88737.31701875872,41101.950479940606
2023-12-29,87733.78107811476,40921.74053728811
2024-01-02,84259.4409589119,40202.94024224341
2024-01-03,81068.59446903905,39010.20816133888
2024-01-04,79395.34476448417,38618.07495628513
2024-01-05,79130.44149549045,38677.54017335993
2024-01-08,85999.37241342851,40289.00420410424
2024-01-09,86510.98268739897,40445.3668422833
2024-01-10,89136.60386480484,40996.47817753769
2024-01-11,89901.51373635833,41183.063741670565
2024-01-12,90028.92486135734,41190.79924524638
2024-01-16,89952.51804749163,41110.18048995656
2024-01-17,87949.80086559265,40632.21534647876
2024-01-18,93594.44100497464,41813.53279460076
2024-01-19,101842.68036125215,43400.53126879961
2024-01-22,101712.71340834688,42492.74708367993
2024-01-23,102396.40841987391,42697.46734062446
2024-01-24,103622.3751514887,42896.45421373052
2024-01-25,103886.40100067778,42929.94501251015
2024-01-26,102548.84795453725,42688.59534905725
2024-01-29,104658.29525527655,43095.191876214994
2024-01-30,103055.86050825688,42815.540464315825
2024-01-31,99328.83033840363,41949.32233309299
2024-02-01,101495.70551146804,42470.72655726392
2024-02-02,105038.0977402774,43487.131681220184
2024-02-05,104493.33320864315,43418.574291058176
2024-02-06,103897.16444172012,43356.09669843238
2024-02-07,106151.26846788336,43783.813974908866
2024-02-08,106571.21292977539,43864.45502465288
2024-02-09,108873.75979237446,44254.83459534498
2024-02-12,108139.18756672785,43447.14449973162
2024-02-13,105238.21790863221,42702.08446159533
2024-02-14,107101.95493933858,43221.46404367713
2024-02-15,107690.63341529247,43394.03334237695
2024-02-16,105832.98425512358,43020.58967058406
2024-02-20,104765.80274418525,42815.54413157509
2024-02-21,103870.41883121514,42629.85312281942
2024-02-22,109255.08006060403,43723.09708944537
2024-02-23,108242.57246442916,43564.16349339913
2024-02-26,107952.31487241847,43526.469916494185
2024-02-27,108314.56432135099,43610.26774118456
2024-02-28,107161.9110677988,43383.72819125569
2024-02-29,108852.48521331773,43720.943444882476
2024-03-01,112513.47678356722,44393.67667061097
2024-03-04,111415.20869870877,43212.01431718405
2024-03-05,107322.78791649449,42443.13514499665
2024-03-06,108731.7645065822,42710.50849468124
2024-03-07,112284.80268646128,43352.17875384562
2024-03-08,108744.63421054269,42718.23736946469
2024-03-11,107813.81478187682,42555.2829840196
2024-03-12,111048.65348505163,43218.30847206191
2024-03-13,108985.13487815176,42848.364703631916
2024-03-14,108482.06022375605,42747.54966072045
2024-03-15,105601.40894288407,42219.606510796846
2024-03-18,107534.53327533854,42602.29522330409
2024-03-19,108053.94630450396,42734.86030482234
2024-03-20,111184.58588508834,43345.01318145333
2024-03-21,112322.44787935421,43534.148607922674
2024-03-22,112539.14329749704,43570.190077236606
2024-03-25,111503.97352976617,43401.57078106032
2024-03-26,110539.04977275556,43240.847087112874
2024-03-27,111500.56409554949,43414.39268334001
2024-03-28,110867.28549701665,43305.98409565846
2024-04-01,111363.0710523064,43695.96894486528
2024-04-02,108648.77725099397,43198.39104692297
2024-04-03,109463.2765318728,43390.570731593696
2024-04-04,105052.99723535505,42546.99916529349
2024-04-05,108520.6300040551,43244.01218034793
2024-04-08,108591.17754370264,43292.59101549733
2024-04-09,108620.93227547362,43462.13757613526
2024-04-10,108488.17091054589,43014.350951477514
2024-04-11,108750.78870084124,43848.526497438426
2024-04-12,108700.78870084124,43099.2763166903
2024-04-15,108700.78870084124,42441.10240904398
2024-04-16,108746.30852182995,42317.43135998173
2024-04-17,108644.58022206095,41774.13506717953
2024-04-18,108620.10510631707,41525.825187824565
2024-04-19,108003.63947035093,40577.10505312313
2024-04-22,107971.13947035093,40549.60505312313
2024-04-23,108134.82520308196,40610.98720289727
2024-04-24,108074.82520308196,40588.48720289727
2024-04-25,108074.82520308196,40588.48720289727
2024-04-26,108074.82520308196,40588.48720289727
2024-04-29,108074.82520308196,40588.48720289727
2024-04-30,107461.99026813736,40365.63813564469
2024-05-01,107313.48917843914,40311.63773939079
2024-05-02,107413.87420683113,40341.825543834755
2024-05-03,107186.44889049463,40251.91871439355
2024-05-06,109432.80730127812,39993.477562378066
2024-05-07,109242.20888210236,39961.41834955377
2024-05-08,108915.90104575292,39903.32515295122
2024-05-09,109248.98796926362,39967.95177228407
2024-05-10,109707.63825606252,40055.17061173607
2024-05-13,110540.74192486795,40208.49991891214
2024-05-14,112129.00535056238,40511.81308489165
2024-05-15,116091.69640328227,41235.46757836954
2024-05-16,115529.64942550135,41124.68883645423
2024-05-17,115147.44019353688,41103.17493124831
2024-05-20,116743.61490616592,41398.18647833896
2024-05-21,117098.61340063995,41497.42939941976
2024-05-22,117111.24101016234,41465.48189858183
2024-05-23,116094.41618715963,41243.06631547958
2024-05-24,118239.57705914868,41709.38646232537
2024-05-28,119273.70822188494,41827.90028816243
2024-05-29,117814.28785622251,41467.61872155359
2024-05-30,115150.58634451602,40967.40225313737
2024-05-31,114477.15687632708,41000.82762131058
2024-06-03,115887.50928044322,40912.506595128994
2024-06-04,117091.76849535991,41134.59944506736
2024-06-05,127546.96264792224,42969.182974251264
2024-06-06,127324.3886553917,42947.811429703885
2024-06-07,126591.357998461,42878.61490587501
2024-06-10,128700.96981094524,43188.59050221251
2024-06-11,132678.07269806764,43810.31417264034
2024-06-12,136419.25126304996,45035.34789882247
2024-06-13,138135.03084398722,44047.17889233056
2024-06-14,140039.95823356582,44255.91164606827
2024-06-17,143944.99046125408,44808.06692037695
2024-06-18,143844.57270641098,44836.305074757656
2024-06-20,141352.79841044388,44429.72928913378
2024-06-21,140269.4526634737,44291.88947859741
2024-06-24,136545.67950120362,43759.446097780885
2024-06-25,140102.00650433663,44362.71357318913
2024-06-26,140611.12549469457,44786.266667676704
2024-06-27,141292.88520920833,44911.160069221776
2024-06-28,139390.57783638831,44642.88090238901
2024-07-01,141240.01925925552,44933.08520976454
2024-07-02,144901.35393277663,45420.17979435419
2024-07-03,147927.8315386002,45085.22376484159
2024-07-05,151699.42545745775,45585.39832454821
2024-07-08,152298.2401868329,45687.7383544563
2024-07-09,152545.80901503252,45718.46823815752
2024-07-10,156492.2837032174,46224.64467858466
2024-07-11,148354.73761552086,43868.7037199177
2024-07-12,150152.7783740336,44150.601713818454
2024-07-15,151108.9184318668,44590.021191906766
2024-07-16,151211.42523317935,44615.34106659247
2024-07-17,140241.8217412254,42651.43342126971
2024-07-18,139712.29044089475,42377.26911787513
2024-07-19,137792.25422506707,42055.65544611666
2024-07-22,140164.12258972463,42528.29616839759
2024-07-23,138928.20862612323,42355.71422304867
2024-07-24,130519.03106114239,40511.63751360012
2024-07-25,128727.96116105601,40160.6227889087
2024-07-26,128906.19898256418,40145.6227889087
2024-07-29,128993.5045018653,40145.6227889087
2024-07-30,127037.51379123291,40039.427966226605
2024-07-31,131740.83355225596,40241.54946144624
2024-08-01,128654.69591664009,40224.04946144624
2024-08-02,133013.2740049805,41617.385024085444
2024-08-05,136840.64063484155,41612.385024085444
2024-08-06,136371.10436294356,42516.40423832154
2024-08-07,135233.6336044568,42516.40423832154
2024-08-08,136182.75874364143,42516.40423832154
2024-08-09,134909.29507994896,42516.40423832154
2024-08-12,134937.81062221713,42516.40423832154
2024-08-13,136947.93455261417,42603.71323234385
2024-08-14,135649.98206699025,42115.25207676394
2024-08-15,140593.9595467812,42736.00184666356
2024-08-16,140477.40537129587,42768.183549440335
2024-08-19,143893.53079271677,43100.70268169317
2024-08-20,143806.17304620758,43056.19118647519
2024-08-21,145973.03315019488,43325.078694375145
2024-08-22,141533.85386848214,42895.13972021275
2024-08-23,143539.20976532728,43172.300215165626
2024-08-26,140186.48939061657,42916.657238884305
2024-08-27,140740.1043328774,43076.78533370503
2024-08-28,138456.70186455324,42788.837208795805
2024-08-29,137323.530535626,42822.49679699207
2024-08-30,139864.12337989942,43125.15572416352
2024-09-03,138718.6296170456,42368.72476449863
2024-09-04,138900.40620789974,42390.231372119706
2024-09-05,137450.5374958986,41959.5720736385
2024-09-06,136473.6898811855,41515.39269497048
2024-09-09,134201.73525110242,40949.00794788597
2024-09-10,134304.9356991268,41084.16672299562
2024-09-11,134690.81274490498,41477.961049443824
2024-09-12,134909.11318314032,41686.571713642166
2024-09-13,134958.7949545207,41764.205847119236
2024-09-16,134743.0592888979,41633.631503371435
2024-09-17,134904.30794730745,41684.69393950537
2024-09-18,134761.45883382446,41572.15653239584
2024-09-19,136115.36068421663,42336.52486652794
2024-09-20,135975.33743956176,42272.72176664256
2024-09-23,136076.7395592226,42341.61862112932
2024-09-24,136506.63486430806,42547.308411465514
2024-09-25,136631.39509460394,42622.4948833865
2024-09-26,136576.39509460394,42797.455990388364
2024-09-27,136576.39509460394,42613.604482941526
2024-09-30,136576.39509460394,42688.00321056999
2024-10-01,136504.0181625698,42258.139959940665
2024-10-02,136524.10541541417,42307.587199699876
2024-10-03,137922.21732100222,42636.8297792656
2024-10-04,138217.02645198166,43038.585445859855
2024-10-07,138162.02645198166,42709.99857936026
2024-10-08,138379.70764791538,43161.81475480606
2024-10-09,138347.20764791538,43360.495171657516
2024-10-10,138347.20764791538,43334.067459275364
2024-10-11,138347.20764791538,43374.500947349705
2024-10-14,138347.20764791538,43607.608511289785
2024-10-15,138060.70201838977,43172.57490007795
2024-10-16,138220.11947105968,43231.83721700523
2024-10-17,138360.65327223457,43300.77162811843
2024-10-18,138542.83681592444,43541.13457841983
2024-10-21,138512.83681592444,43576.977531551085
2024-10-22,138564.23456322477,43622.63640160689
2024-10-23,138291.53753395783,43131.64744675676
2024-10-24,138557.91240897326,43412.194308839295
2024-10-25,138664.32397157335,43573.163347830254
2024-10-28,138634.32397157335,43588.923393879646
2024-10-29,138783.5317205839,43877.97882316577
2024-10-30,138753.5317205839,43661.93425277671
2024-10-31,138753.5317205839,42938.07796699327
2024-11-01,138753.5317205839,43152.40204636584
2024-11-04,138682.22405400587,43056.834678493105
2024-11-05,137994.2910892939,43211.48021938404
2024-11-06,136945.2802396831,43655.931314108515
2024-11-07,136929.2802396831,44036.302070904705
2024-11-08,136929.2802396831,44028.802070904705
