date,net_liq,cash,tqqq_shares,open_puts,open_calls,tqqq_price,vix,above_sma200,total_return_pct
2023-05-30,48049.24,48049.24,0,0,0,17.15,17.5,1,92.2
2023-05-31,48049.24,48049.24,0,0,0,16.81,17.9,1,92.2
2023-06-01,48049.24,48049.24,0,0,0,17.42,15.6,1,92.2
2023-06-02,48049.24,48049.24,0,0,0,17.81,14.6,1,92.2
2023-06-05,10673.9,10832.58,0,1,0,17.85,14.7,1,-57.3
2023-06-06,48130.47,48130.47,0,0,0,17.83,14.0,1,92.52
2023-06-07,48130.47,48130.47,0,0,0,16.92,13.9,1,92.52
2023-06-08,48130.47,48130.47,0,0,0,17.5,13.6,1,92.52
2023-06-09,48130.47,48130.47,0,0,0,17.71,13.8,1,92.52
2023-06-12,10840.64,11071.03,0,1,0,18.62,15.0,1,-56.64
2023-06-13,48398.77,48398.77,0,0,0,19.03,14.6,1,93.6
2023-06-14,48398.77,48398.77,0,0,0,19.44,13.9,1,93.6
2023-06-15,48398.77,48398.77,0,0,0,20.12,14.5,1,93.6
2023-06-16,48398.77,48398.77,0,0,0,19.73,13.5,1,93.6
2023-06-20,48398.77,48398.77,0,0,0,19.64,13.9,1,93.6
2023-06-21,48398.77,48398.77,0,0,0,18.85,13.2,1,93.6
2023-06-22,48398.77,48398.77,0,0,0,19.47,12.9,1,93.6
2023-06-23,48398.77,48398.77,0,0,0,18.9,13.4,1,93.6
2023-06-26,10387.42,10621.95,0,1,0,18.15,14.2,1,-58.45
2023-06-27,48757.5,48757.5,0,0,0,19.05,13.7,1,95.03
2023-06-28,48757.5,48757.5,0,0,0,19.16,13.4,1,95.03
2023-06-29,48757.5,48757.5,0,0,0,19.03,13.5,1,95.03
2023-06-30,48757.5,48757.5,0,0,0,19.89,13.6,1,95.03
2023-07-03,10463.38,10647.38,0,1,0,20.03,13.6,1,-58.15
2023-07-05,48992.83,48992.83,0,0,0,20.01,14.2,1,95.97
2023-07-06,48992.83,48992.83,0,0,0,19.54,15.4,1,95.97
2023-07-07,48992.83,48992.83,0,0,0,19.34,14.8,1,95.97
2023-07-10,10215.58,10349.37,0,1,0,19.36,15.1,1,-59.14
2023-07-11,49128.12,49128.12,0,0,0,19.63,14.8,1,96.51
2023-07-12,49128.12,49128.12,0,0,0,20.36,13.5,1,96.51
2023-07-13,49128.12,49128.12,0,0,0,21.38,13.6,1,96.51
2023-07-14,49128.12,49128.12,0,0,0,21.36,13.3,1,96.51
2023-07-17,11159.18,11290.46,0,1,0,21.95,13.5,1,-55.36
2023-07-18,49292.83,49292.83,0,0,0,22.47,13.3,1,97.17
2023-07-19,49292.83,49292.83,0,0,0,22.47,13.8,1,97.17
2023-07-20,49292.83,49292.83,0,0,0,20.9,14.0,1,97.17
2023-07-21,49292.83,49292.83,0,0,0,20.71,13.6,1,97.17
2023-07-24,11427.09,11588.43,0,1,0,20.79,13.9,1,-54.29
2023-07-25,49481.25,49481.25,0,0,0,21.21,13.9,1,97.93
2023-07-26,49481.25,49481.25,0,0,0,20.99,13.2,1,97.93
2023-07-27,49481.25,49481.25,0,0,0,20.81,14.4,1,97.93
2023-07-28,49481.25,49481.25,0,0,0,21.94,13.3,1,97.93
2023-07-31,11453.59,11571.01,0,1,0,21.98,13.6,1,-54.19
2023-08-01,49507.47,49507.47,0,0,0,21.81,13.9,1,98.03
2023-08-02,49507.47,49507.47,0,0,0,20.39,16.1,1,98.03
2023-08-03,49507.47,49507.47,0,0,0,20.24,15.9,1,98.03
2023-08-04,49507.47,49507.47,0,0,0,19.96,17.1,1,98.03
2023-08-07,10397.45,10607.5,0,1,0,20.45,15.8,1,-58.41
2023-08-08,10349.01,10607.5,0,1,0,19.93,16.0,1,-58.6
2023-08-09,10213.0,10607.5,0,1,0,19.27,16.0,1,-59.15
2023-08-10,49583.08,49583.08,0,0,0,19.35,15.9,1,98.33
2023-08-11,49583.08,49583.08,0,0,0,18.97,14.8,1,98.33
2023-08-14,10329.89,10508.31,0,1,0,19.6,14.8,1,-58.68
2023-08-15,10248.52,10508.31,0,1,0,18.99,16.5,1,-59.01
2023-08-16,10093.34,10508.31,0,1,0,18.36,16.8,1,-59.63
2023-08-17,49025.56,49025.56,0,0,0,17.74,17.9,1,96.1
2023-08-18,49025.56,49025.56,0,0,0,17.66,17.3,1,96.1
2023-08-21,10252.6,10421.34,0,1,0,18.51,17.1,1,-58.99
2023-08-22,49090.97,49090.97,0,0,0,18.43,17.0,1,96.36
2023-08-23,49090.97,49090.97,0,0,0,19.3,16.0,1,96.36
2023-08-24,49090.97,49090.97,0,0,0,18.03,17.2,1,96.36
2023-08-25,49090.97,49090.97,0,0,0,18.46,15.7,1,96.36
2023-08-28,11294.74,11528.31,0,1,0,18.87,15.1,1,-54.82
2023-08-29,49474.42,49474.42,0,0,0,20.07,14.4,1,97.9
2023-08-30,49474.42,49474.42,0,0,0,20.41,13.9,1,97.9
2023-08-31,49474.42,49474.42,0,0,0,20.59,13.6,1,97.9
2023-09-01,49474.42,49474.42,0,0,0,20.52,13.1,1,97.9
2023-09-05,49474.42,49474.42,0,0,0,20.57,14.0,1,97.9
2023-09-06,49474.42,49474.42,0,0,0,20.03,14.4,1,97.9
2023-09-07,49474.42,49474.42,0,0,0,19.59,14.4,1,97.9
2023-09-08,49474.42,49474.42,0,0,0,19.65,13.8,1,97.9
2023-09-11,10624.0,10859.1,0,1,0,20.32,13.8,1,-57.5
2023-09-12,10526.31,10859.1,0,1,0,19.67,14.2,1,-57.89
2023-09-13,49622.27,49622.27,0,0,0,19.86,13.5,1,98.49
2023-09-14,49622.27,49622.27,0,0,0,20.33,12.8,1,98.49
2023-09-15,49622.27,49622.27,0,0,0,19.29,13.8,1,98.49
2023-09-18,10903.3,11136.01,0,1,0,19.33,14.0,1,-56.39
2023-09-19,49707.27,49707.27,0,0,0,19.21,14.1,1,98.83
2023-09-20,49707.27,49707.27,0,0,0,18.38,15.1,1,98.83
2023-09-21,49707.27,49707.27,0,0,0,17.33,17.5,1,98.83
2023-09-22,49707.27,49707.27,0,0,0,17.35,17.2,1,98.83
2023-09-25,11296.6,11462.87,0,1,0,17.58,16.9,1,-54.81
2023-09-26,11105.81,11462.87,0,1,0,16.79,18.9,1,-55.58
2023-09-27,11284.34,11462.87,0,1,0,16.89,18.2,1,-54.86
2023-09-28,49967.86,49967.86,0,0,0,17.3,17.3,1,99.87
2023-09-29,49967.86,49967.86,0,0,0,17.34,17.5,1,99.87
2023-10-02,11163.75,11291.5,0,1,0,17.76,17.6,1,-55.35
2023-10-03,49687.62,49687.62,0,0,0,16.82,19.8,1,98.75
2023-10-04,49687.62,49687.62,0,0,0,17.5,18.6,1,98.75
2023-10-05,49687.62,49687.62,0,0,0,17.31,18.5,1,98.75
2023-10-06,49687.62,49687.62,0,0,0,18.18,17.5,1,98.75
2023-10-09,11043.12,11266.44,0,1,0,18.45,17.7,1,-55.83
2023-10-10,49920.54,49920.54,0,0,0,18.75,17.0,1,99.68
2023-10-11,49920.54,49920.54,0,0,0,19.15,16.1,1,99.68
2023-10-12,49920.54,49920.54,0,0,0,18.93,16.7,1,99.68
2023-10-13,49920.54,49920.54,0,0,0,18.21,19.3,1,99.68
2023-10-16,10491.39,10708.04,0,1,0,18.83,17.2,1,-58.03
2023-10-17,10536.16,10708.04,0,1,0,18.65,17.9,1,-57.86
2023-10-18,10376.4,10708.04,0,1,0,17.86,19.2,1,-58.49
2023-10-19,10298.77,10708.04,0,1,0,17.38,21.4,1,-58.8
2023-10-20,48882.72,10708.04,2300,0,0,16.6,21.7,1,95.53
2023-10-23,49195.67,11366.95,2300,0,1,16.74,20.4,1,96.78
2023-10-24,50025.18,11366.95,2300,0,1,17.22,19.0,1,100.1
2023-10-25,47994.76,11366.95,2300,0,1,15.96,20.2,1,91.98
2023-10-26,45924.54,11366.95,2300,0,1,15.03,20.7,0,83.7
2023-10-27,47076.25,12025.86,2300,0,0,15.24,21.3,0,88.31
2023-10-30,48184.27,12820.13,2300,0,1,15.73,19.8,0,92.74
2023-10-31,48691.27,12820.13,2300,0,1,15.96,18.1,1,94.77
2023-11-01,49820.28,12820.13,2300,0,1,16.78,16.9,1,99.28
2023-11-02,50400.19,12820.13,2300,0,1,17.67,15.7,1,101.6
2023-11-03,51243.06,51243.06,0,0,0,18.3,14.9,1,104.97
2023-11-06,10801.4,11154.93,0,1,0,18.51,14.9,1,-56.79
2023-11-07,51672.74,51672.74,0,0,0,19.03,14.8,1,106.69
2023-11-08,51672.74,51672.74,0,0,0,19.06,14.4,1,106.69
2023-11-09,51672.74,51672.74,0,0,0,18.61,15.3,1,106.69
2023-11-10,51672.74,51672.74,0,0,0,19.85,14.2,1,106.69
2023-11-13,10480.65,10881.17,0,1,0,19.67,14.8,1,-58.08
2023-11-14,52314.55,52314.55,0,0,0,20.91,14.2,1,109.26
2023-11-15,52314.55,52314.55,0,0,0,20.96,14.2,1,109.26
2023-11-16,52314.55,52314.55,0,0,0,21.0,14.3,1,109.26
2023-11-17,52314.55,52314.55,0,0,0,21.01,13.8,1,109.26
2023-11-20,10703.56,11043.78,0,1,0,21.76,13.4,1,-57.19
2023-11-21,10710.71,11043.78,0,1,0,21.37,13.4,1,-57.16
2023-11-22,52697.07,52697.07,0,0,0,21.62,12.9,1,110.79
2023-11-24,52697.07,52697.07,0,0,0,21.51,12.5,1,110.79
2023-11-27,11690.86,11797.42,0,1,0,21.45,12.7,1,-53.24
2023-11-28,52786.27,52786.27,0,0,0,21.62,12.7,1,111.15
2023-11-29,52786.27,52786.27,0,0,0,21.54,13.0,1,111.15
2023-11-30,52786.27,52786.27,0,0,0,21.36,12.9,1,111.15
