Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-17T09:30:00-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 57.77,577.70,10,57.77,0.00,-0.03,,,,,,,455255460,577.67,USD
2026-04-17T09:30:00-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 57.77,577.70,10,57.77,0.00,-0.03,,,,,,,455255453,577.67,USD
2026-04-17T09:30:00-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 57.77,577.70,10,57.77,0.00,-0.03,,,,,,,455255455,577.67,USD
2026-04-16T17:00:00-0400,Money Movement,Debit Interest,,,,FROM 03/16 THRU 04/15 @11    %,-11.45,0,,--,0.00,,,,,,,,-11.45,USD
2026-04-16T15:46:57-0400,Trade,Buy to Open,BUY_TO_OPEN,TQQQ,Equity,Bought 188.15553 TQQQ @ 56.38,"-10,608.19",188.15553,-56.38,0.00,-0.10,,,,,,,455234070,"-10,608.29",USD
2026-04-16T15:46:57-0400,Trade,Buy to Close,BUY_TO_CLOSE,QQQ,Equity,Bought 10.9957 QQQ @ 640.17,"-7,039.12",10.9957,-640.17,0.00,-0.10,,,,,,,455234063,"-7,039.22",USD
2026-04-16T15:45:38-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 1.9999 SGOV @ 100.54,-201.07,1.9999,-100.54,0.00,-0.10,,,,,,,455232607,-201.17,USD
2026-04-16T15:45:37-0400,Trade,Buy to Close,BUY_TO_CLOSE,QQQ,Equity,Bought 0.99927 QQQ @ 640.10,-639.64,0.99927,-640.11,0.00,-0.10,,,,,,,455232602,-639.74,USD
2026-04-16T15:45:37-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 8 TQQQ @ 56.37,450.96,8,56.37,0.00,-0.02,,,,,,,455232599,450.94,USD
2026-04-16T15:45:36-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.74,"2,167.60",29,74.74,0.00,-0.08,,,,,,,455232578,"2,167.52",USD
2026-04-16T15:45:36-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 56.36,563.65,10,56.36,0.00,-0.03,,,,,,,455232573,563.62,USD
2026-04-16T15:45:36-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 640.08,"12,161.52",19,640.08,0.00,-0.28,,,,,,,455232572,"12,161.24",USD
2026-04-16T15:45:36-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 56.36,563.65,10,56.36,0.00,-0.03,,,,,,,455232571,563.62,USD
2026-04-16T15:45:35-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.74,"2,167.31",29,74.73,0.00,-0.08,,,,,,,455232555,"2,167.23",USD
2026-04-16T15:45:34-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 640.08,"12,161.61",19,640.08,0.00,-0.28,,,,,,,455232547,"12,161.33",USD
2026-04-16T15:45:34-0400,Trade,Sell to Close,SELL_TO_CLOSE,TQQQ,Equity,Sold 10 TQQQ @ 56.36,563.65,10,56.36,0.00,-0.03,,,,,,,455232545,563.62,USD
2026-04-16T15:45:34-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.86",11,100.53,0.00,-0.04,,,,,,,455232543,"1,105.82",USD
2026-04-16T15:45:34-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.86",11,100.53,0.00,-0.04,,,,,,,455232542,"1,105.82",USD
2026-04-16T15:45:34-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.74,"2,167.47",29,74.74,0.00,-0.08,,,,,,,455232535,"2,167.39",USD
2026-04-16T15:45:34-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.74,"2,167.46",29,74.74,0.00,-0.08,,,,,,,455232534,"2,167.38",USD
2026-04-16T15:45:33-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 640.09,"12,161.71",19,640.09,0.00,-0.28,,,,,,,455232527,"12,161.43",USD
2026-04-16T15:45:33-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 640.09,"12,161.73",19,640.09,0.00,-0.28,,,,,,,455232526,"12,161.45",USD
2026-04-16T15:02:09-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.54,"1,105.88",11,100.53,0.00,-0.04,,,,,,,455198056,"1,105.84",USD
2026-04-16T15:02:09-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 27 QLD @ 74.67,"2,016.10",27,74.67,0.00,-0.08,,,,,,,455198048,"2,016.02",USD
2026-04-16T15:02:08-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 18 QQQ @ 639.76,"11,515.71",18,639.76,0.00,-0.26,,,,,,,455198045,"11,515.45",USD
2026-04-16T15:02:08-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.84",11,100.53,0.00,-0.04,,,,,,,455198042,"1,105.80",USD
2026-04-16T15:02:08-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.83",11,100.53,0.00,-0.04,,,,,,,455198041,"1,105.79",USD
2026-04-16T15:02:08-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 29 QLD @ 74.66,"2,165.28",29,74.66,0.00,-0.08,,,,,,,455198036,"2,165.20",USD
2026-04-16T15:02:08-0400,Trade,Sell to Close,SELL_TO_CLOSE,QLD,Equity,Sold 29 QLD @ 74.66,"2,165.28",29,74.66,0.00,-0.08,,,,,,,455198035,"2,165.20",USD
2026-04-16T15:02:08-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 19 QQQ @ 639.77,"12,155.63",19,639.77,0.00,-0.28,,,,,,,455198031,"12,155.35",USD
2026-04-16T15:02:08-0400,Trade,Sell to Close,SELL_TO_CLOSE,QQQ,Equity,Sold 19 QQQ @ 639.76,"12,155.48",19,639.76,0.00,-0.28,,,,,,,455198030,"12,155.20",USD
2026-04-16T15:01:18-0400,Trade,Buy to Open,BUY_TO_OPEN,SGOV,Equity,Bought 11.00004 SGOV @ 100.54,"-1,105.89",11.00004,-100.53,0.00,-0.10,,,,,,,455197315,"-1,105.99",USD
2026-04-16T15:01:18-0400,Trade,Buy to Open,BUY_TO_OPEN,QLD,Equity,Bought 28.99417 QLD @ 74.62,"-2,163.69",28.99417,-74.63,0.00,-0.10,,,,,,,455197313,"-2,163.79",USD
2026-04-16T15:01:18-0400,Trade,Buy to Open,BUY_TO_OPEN,QQQ,Equity,Bought 18.93509 QQQ @ 639.58,"-12,110.60",18.93509,-639.59,0.00,-0.10,,,,,,,455197309,"-12,110.70",USD
2026-04-16T15:01:09-0400,Trade,Buy to Open,BUY_TO_OPEN,QLD,Equity,Bought 58.0004 QLD @ 74.62,"-4,327.99",58.0004,-74.62,0.00,-0.10,,,,,,,455197142,"-4,328.09",USD
2026-04-16T15:01:08-0400,Trade,Buy to Open,BUY_TO_OPEN,QQQ,Equity,Bought 57.0572 QQQ @ 639.56,"-36,491.79",57.0572,-639.56,0.00,-0.10,,,,,,,455197137,"-36,491.89",USD
2026-04-16T15:01:06-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.84",11,100.53,0.00,-0.04,,,,,,,455197090,"1,105.80",USD
2026-04-16T15:01:06-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 11 SGOV @ 100.53,"1,105.83",11,100.53,0.00,-0.04,,,,,,,455197089,"1,105.79",USD
