Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
MRVL,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-26,2019-09-04,9,561.74,549.09,-12.64,-1.8
NVDA,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-08-28,2019-09-06,9,669.05,709.9,40.85,5.6
SHOP,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-08-30,2019-09-09,10,967.92,863.02,-104.9,-10.8
CIEN,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-09-06,2019-09-11,5,893.13,924.32,31.18,3.5
GOOGL,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-09-03,2019-09-12,9,1269.5,1283.75,14.25,1.1
AMD,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-09-04,2019-09-13,9,977.25,740.48,-236.77,-24.2
SHOP,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 7 days >= 5,2019-09-09,2019-09-16,7,872.91,867.8,-5.1,-0.6
AMD,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-09-11,2019-09-16,5,754.45,724.95,-29.5,-3.9
NVDA,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-09-13,2019-09-23,10,719.63,588.26,-131.37,-18.0
SHOP,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-09-16,2019-09-25,9,896.92,810.54,-86.38,-9.6
ZS,CALL_BACKSPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-09-12,2019-09-27,15,896.35,582.32,-314.03,-44.3
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 17 days >= 15,2019-09-13,2019-09-30,17,286.93,206.95,79.99,9.5
AVGO,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-09-16,2019-10-01,15,241.32,112.08,129.24,17.9
TQQQ,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-09-24,2019-10-03,9,531.85,493.94,-37.9,-6.3
AVGO,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-09-25,2019-10-04,9,523.68,504.87,-18.82,-3.6
GDX,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-09-27,2019-10-07,10,608.2,564.91,-43.29,-7.1
TSLA,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-10-04,2019-10-09,5,386.89,398.1,11.21,2.2
GOOGL,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-10-01,2019-10-10,9,1250.01,1244.44,-5.57,-0.4
ANET,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-10-03,2019-10-14,11,313.8,313.46,-0.34,-0.1
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-09-30,2019-10-15,15,218.78,143.8,74.98,12.6
TQQQ,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-10-08,2019-10-17,9,529.62,600.13,70.5,12.4
GDX,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-10-10,2019-10-21,11,597.63,546.87,-50.76,-8.5
AAPL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 6 days >= 5,2019-10-15,2019-10-21,6,1193.35,1212.18,18.83,1.6
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 17 days >= 15,2019-10-11,2019-10-28,17,175.4,103.96,71.44,12.2
GOOGL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 7 days >= 5,2019-10-21,2019-10-28,7,1289.29,1326.23,36.93,2.9
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-10-14,2019-10-29,15,138.51,90.15,48.36,10.6
NOW,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-10-17,2019-11-01,15,159.2,142.52,16.69,2.8
AAPL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-10-30,2019-11-04,5,1219.53,1292.53,73.0,6.0
NOW,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-10-21,2019-11-05,15,153.78,135.51,18.27,3.6
SOXL,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-10-31,2019-11-11,11,412.97,422.29,9.32,1.7
TSLA,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-10-29,2019-11-13,15,272.86,250.78,22.08,3.6
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-11-04,2019-11-19,15,199.84,107.3,92.54,14.9
GDX,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-11-05,2019-11-20,15,191.56,106.61,84.95,13.9
SHOP,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-11-05,2019-11-20,15,209.37,166.83,42.54,8.1
NOW,CREDIT_SPREAD,BULLISH,TIME_STOP_STRATEGY: Held 15 days >= 15,2019-11-05,2019-11-20,15,82.55,62.84,19.71,5.1
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-11-11,2019-11-20,9,540.98,536.92,-4.06,-0.8
SOXL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 6 days >= 5,2019-11-19,2019-11-25,6,400.88,376.52,-24.35,-4.5
AAPL,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-11-20,2019-11-25,5,1318.78,1334.96,16.18,1.2
